qua 26 jan 2022 22:02:36 -03
Population 426 Fitness -46872 Error 2.424
Population 427 Fitness -46612 Error 1.818
Population 428 Fitness -46613 Error 2.727
Population 429 Fitness -46387 Error 2.727
Population 430 Fitness -46454 Error 1.818
Population 431 Fitness -46437 Error 2.424
Population 432 Fitness -46540 Error 2.121
Population 433 Fitness -46478 Error 2.727
Population 434 Fitness -46428 Error 1.818
Population 435 Fitness -46585 Error 3.030
Population 436 Fitness -46727 Error 2.121
Population 437 Fitness -46496 Error 1.818
Population 438 Fitness -46347 Error 2.121
Population 439 Fitness -46279 Error 1.818
Population 440 Fitness -46453 Error 2.727
Population 441 Fitness -46577 Error 1.212
Population 442 Fitness -46518 Error 3.636
Population 443 Fitness -46388 Error 3.333
Population 444 Fitness -46271 Error 2.424
Population 445 Fitness -46136 Error 2.424
Population 446 Fitness -46087 Error 3.030
Population 447 Fitness -46458 Error 3.333
Population 448 Fitness -46360 Error 3.333
Population 449 Fitness -46241 Error 2.727
Population 450 Fitness -46194 Error 3.636
Population 451 Fitness -46406 Error 2.424
Population 452 Fitness -46300 Error 2.727
Population 453 Fitness -46175 Error 3.030
Population 454 Fitness -46549 Error 2.727
Population 455 Fitness -46306 Error 3.030
Population 456 Fitness -46484 Error 1.818
Population 457 Fitness -46274 Error 3.030
Population 458 Fitness -46310 Error 2.424
Population 459 Fitness -46290 Error 2.727
Population 460 Fitness -46333 Error 3.333
Population 461 Fitness -46446 Error 2.424
Population 462 Fitness -46481 Error 2.727
Population 463 Fitness -46454 Error 2.424
Population 464 Fitness -46334 Error 3.030
Population 465 Fitness -46241 Error 3.333
Population 466 Fitness -46301 Error 3.030
Population 467 Fitness -46368 Error 2.727
Population 468 Fitness -46294 Error 2.121
Population 469 Fitness -46369 Error 2.121
Population 470 Fitness -46342 Error 2.424
Population 471 Fitness -46351 Error 3.030
Population 472 Fitness -46281 Error 2.727
Population 473 Fitness -46535 Error 2.727
Population 474 Fitness -46454 Error 3.636
Population 475 Fitness -46223 Error 2.121
Population 476 Fitness -46185 Error 2.424
Population 477 Fitness -46520 Error 2.727
Population 478 Fitness -46232 Error 2.424
Population 479 Fitness -45945 Error 2.727
Population 480 Fitness -46192 Error 2.727
Population 481 Fitness -46219 Error 2.727
Population 482 Fitness -46222 Error 2.727
Population 483 Fitness -46211 Error 3.333
Population 484 Fitness -46053 Error 1.515
Population 485 Fitness -46249 Error 3.030
Population 486 Fitness -46093 Error 3.333
Population 487 Fitness -46120 Error 2.727
Population 488 Fitness -45832 Error 2.727
Population 489 Fitness -46107 Error 2.424
Population 490 Fitness -46088 Error 2.424
Population 491 Fitness -46113 Error 2.424
Population 492 Fitness -46220 Error 2.424
Population 493 Fitness -45886 Error 2.424
Population 494 Fitness -46000 Error 2.424
Population 495 Fitness -46015 Error 2.727
Population 496 Fitness -46023 Error 2.424
Population 497 Fitness -45866 Error 2.121
Population 498 Fitness -45962 Error 2.727
Population 499 Fitness -46041 Error 2.424
Population 500 Fitness -45880 Error 2.424
Population 501 Fitness -45950 Error 2.424
Population 502 Fitness -45805 Error 3.636
Population 503 Fitness -46078 Error 2.727
Population 504 Fitness -45718 Error 1.818
Population 505 Fitness -45812 Error 1.818
Population 506 Fitness -46148 Error 2.121
Population 507 Fitness -45936 Error 1.818
Population 508 Fitness -45907 Error 2.424
Population 509 Fitness -46044 Error 2.727
Population 510 Fitness -45968 Error 2.424
Population 511 Fitness -46144 Error 2.121
Population 512 Fitness -45858 Error 2.424
Population 513 Fitness -45888 Error 2.424
Population 514 Fitness -45919 Error 2.727
Population 515 Fitness -45853 Error 2.424
Population 516 Fitness -45926 Error 2.121
Population 517 Fitness -45910 Error 2.424
Population 518 Fitness -45710 Error 2.424
Population 519 Fitness -45835 Error 2.121
Population 520 Fitness -45965 Error 2.121
Population 521 Fitness -45943 Error 2.121
Population 522 Fitness -45909 Error 3.333
Population 523 Fitness -45794 Error 2.727
Population 524 Fitness -45796 Error 3.333
Population 525 Fitness -45963 Error 2.121
Population 526 Fitness -45717 Error 2.727
Population 527 Fitness -45785 Error 3.030
Population 528 Fitness -45846 Error 2.727
Population 529 Fitness -45500 Error 2.424
Population 530 Fitness -45504 Error 2.424
Population 531 Fitness -45493 Error 2.727
Population 532 Fitness -45406 Error 2.424
Population 533 Fitness -45851 Error 2.424
Population 534 Fitness -45744 Error 2.121
Population 535 Fitness -45751 Error 2.424
Population 536 Fitness -45734 Error 2.424
Population 537 Fitness -45846 Error 1.818
Population 538 Fitness -45671 Error 2.727
Population 539 Fitness -45673 Error 2.121
Population 540 Fitness -45698 Error 2.121
Population 541 Fitness -45850 Error 2.121
Population 542 Fitness -45617 Error 1.818
Population 543 Fitness -45717 Error 2.424
Population 544 Fitness -45784 Error 2.727
Population 545 Fitness -45671 Error 1.818
Population 546 Fitness -45600 Error 2.424
Population 547 Fitness -45761 Error 2.121
Population 548 Fitness -45674 Error 2.121
Population 549 Fitness -45656 Error 1.515
Population 550 Fitness -45820 Error 2.424
Population 551 Fitness -45913 Error 2.121
Population 552 Fitness -45936 Error 2.727
Population 553 Fitness -45675 Error 2.424
Population 554 Fitness -45531 Error 2.727
Population 555 Fitness -45497 Error 2.727
